model,fold,train_size,rmse,mae,mape,state
arima,0,216,41836964.95640307,34900719.53907469,4.051436967777622,Texas
arima,1,224,761609961.8707123,714869126.8800093,41.977794953469896,Texas
arima,2,232,536362938.209916,501712723.36618984,53.383900707396215,Texas
arima,3,240,280782475.4279771,278506111.8880997,32.45165934182534,Texas
arima,4,248,316741097.7635073,126932719.58255535,7.860814844284084,Texas
sarima,0,216,334133632.4185095,147527229.0869559,17.287299452201946,Texas
sarima,1,224,690406373.6278362,624291482.5362387,37.108664183555526,Texas
sarima,2,232,673620408.8028996,618556196.7159398,66.30340551169294,Texas
sarima,3,240,140924430.82931265,100414377.6754193,11.4357624465971,Texas
sarima,4,248,375623209.5005445,228490625.8649487,18.878241590210028,Texas
prophet,0,216,204776436.6126625,198621735.2150357,22.724197474076107,Texas
prophet,1,224,580723083.9728531,556033962.1611003,33.30667269818569,Texas
prophet,2,232,321306004.9401044,293799659.8051802,26.539808241833008,Texas
prophet,3,240,286322581.1625472,279068241.1907975,32.531566612247744,Texas
prophet,4,248,370670597.2806579,344621963.5527872,33.702973777328616,Texas
arima,0,216,8516246.65567702,7186462.554125663,4.376337156650682,Kentucky
arima,1,224,150904927.7865074,141999441.1575443,42.97769125889902,Kentucky
arima,2,232,110424272.51916467,102398733.70846675,57.47192007743299,Kentucky
arima,3,240,52265288.79563281,51696812.214130744,31.309455846174387,Kentucky
arima,4,248,59558281.72437184,22161252.33420811,6.767543983573801,Kentucky
sarima,0,216,64313907.73065978,28888460.073089402,17.599742555787497,Kentucky
sarima,1,224,136306711.27190793,121807090.22664642,37.21559824122123,Kentucky
sarima,2,232,131518002.11252685,120694390.34036851,67.93000031414095,Kentucky
sarima,3,240,25798458.348473728,18882629.898825344,11.116457289039442,Kentucky
sarima,4,248,69708148.89054681,43760269.17526671,19.204951258782142,Kentucky
prophet,0,216,39223529.702969536,38152237.79912844,22.8408312385029,Kentucky
prophet,1,224,115069075.2035019,109943607.64904897,33.78629269394049,Kentucky
prophet,2,232,63134623.05769758,56895409.7795174,26.39640439169049,Kentucky
prophet,3,240,51780791.671847425,50386321.74354397,30.50877935811261,Kentucky
prophet,4,248,68471648.7845132,63645015.456080586,32.275713079199214,Kentucky
arima,0,216,1317202.1670513477,1233350.137257419,7.074215819859388,Vermont
arima,1,224,16572507.648424426,15513517.683168458,43.287336512437896,Vermont
arima,2,232,11623650.149153037,10867663.696427383,55.696103655967356,Vermont
arima,3,240,5865933.083374463,5857980.661115918,32.7759936906259,Vermont
arima,4,248,6223032.565182381,2636315.4069442987,8.489512410871747,Vermont
sarima,0,216,6571596.128171694,2893457.5307414667,16.668087376606717,Vermont
sarima,1,224,14858508.514470002,13173694.827418983,37.24482520859217,Vermont
sarima,2,232,14310389.190312127,13140641.46261704,67.89507514207475,Vermont
sarima,3,240,2669517.5603996534,1899532.2614335148,10.513319094911969,Vermont
sarima,4,248,7200743.847297203,4758365.900356989,20.301517607720886,Vermont
prophet,0,216,4449065.220550702,4334717.127053282,24.62636646500239,Vermont
prophet,1,224,12216768.166143836,11736126.003883872,33.67778714191455,Vermont
prophet,2,232,6825022.058513181,6254356.358511174,26.65517061045202,Vermont
prophet,3,240,5451707.207933163,5330072.2554037515,29.8446480012062,Vermont
prophet,4,248,7241468.776998897,6732917.746332718,32.59057603346076,Vermont
